Claim Number;Loss Description;Claim Create Time;AI Loss Cause;AI Damaged Items;AI Place of Occurrence;AI Triage;AI Triage Reasoning;AI Prevailing Document;AI Section/Page Document;AI Coverage (applicable);AI Limit (applicable);AI Reasoning;AI Claim Prediction
HO10028406;Water Damage: WATER BACK UP;2023-12-04T16:08:24.344000;sewage backup;;;FALSE;The claim description indicates 'Water Damage: WATER BACK UP,' which signifies a type of water damage but lacks critical details such as the source of the water and specific items or areas that were affected. Without this essential context, it is not possible to assess the situation adequately or understand the extent of the damage. A comprehensive claim description should specify what caused the water backup (e.g., a sewer issue, heavy rainfall) and detail what was damaged (e.g., flooring, walls). Thus, the description does not provide enough information to proceed with the claim evaluation.;;;;;;
HO10028422;Water Damage: Water leakage from kitchen sink damaged electrical panel and perhaps hot water heater.;2023-12-05T12:04:34.016000;water damage due to plumbing system;electrical panel, hot water heater;kitchen;TRUE;The claim description notes that water leakage from the kitchen sink caused damage to both the electrical panel and perhaps the hot water heater. This delineates both the source of water (the kitchen sink) and the items that sustained damage (the electrical panel and possibly the hot water heater). The details provided are sufficient to validate the claim, as they meet the critical components necessary for processing, specifically indicating a clear cause of the water damage and the resultant effects on property.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, Homeowners-3-Special-Form_HO0003_201105.pdf - page 3;Coverage A;230896;This claim is Covered under Coverage A ñ Dwelling up to the Coverage A limit of $230,896 under HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî (page 11) insures the sudden accidental leak from the kitchen sink plumbing system. Peril 12.d (page 11) explicitly overrides Section I ñ Exclusion A.3 for water losses covered under this peril, and the Exception to exclusion c.(6) in Section I (page 9) confirms coverage for ensuing damage to covered dwelling components, including the electrical panel and hot water heater. No exclusion for groundwater or sump pump overflow applies to this interior plumbing discharge.;TRUE
HO10028431;Water Damage: Pipe burst around well pump tank;2023-12-06T08:07:15.865000;water damage due to plumbing system;;around well pump tank;TRUE;The claim description states: 'Water Damage: Pipe burst around well pump tank.' This provides clear information about the source of the water, which is the burst pipe, and it indicates a specific area of damage, namely the vicinity of the well pump tank. This aligns with the requirements for a valid claim description, as it clearly establishes both the cause of the water damage and the affected area, fulfilling the necessary criteria to proceed with the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10;Coverage A, Coverage C;685780;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $403,400 and Coverage C ñ Personal Property up to the policy limit of $282,380 as an ìAccidental Discharge Or Overflow Of Water Or Steamî under Section I ñ Perils Insured Against, Peril 12 of the HO 00 03 05 11 Homeowners 3 Special Form (page 11). Peril 12.a covers sudden and accidental discharge from within the insuredís plumbing system. Peril 12.c expressly excludes only sump pumps and related equipment, and a well pump is not a sump pump. Peril 12.d further provides that the Section I ñ Exclusion A.3 water exclusions for surface water or groundwater do not apply to losses covered under this peril. In addition, the Exception to Exclusion c.(6) (page 10) confirms that resulting loss to the dwelling or covered property from a plumbing system discharge is insured even if caused by mechanical breakdown or latent defect.;TRUE
HO10028436;Water Damage: Hot water supply corroded causing water damage to first floor bath. Ceramic tile floor, ceramic tile wall half way up wall, pedestal sink, tub/shower;2023-12-06T10:02:47.730000;water damage due to plumbing system;ceramic tile floor, ceramic tile wall (half-way up wall), pedestal sink, tub/shower;first-floor bathroom;TRUE;The claim description clearly identifies the source of water damage as a corroded hot water supply, which directly caused damage to the first floor bathroom including the ceramic tile floor, ceramic tile wall, pedestal sink, and tub/shower. This clear delineation of both the cause and the items damaged meets the necessary criteria for proceeding with the claim and aligns with industry standards for claim submission.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2;Coverage A;316007;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $316,007. Under the Homeowners 3 Special Form HO 00 03 05 11, Section I ñ Property Coverages, Coverage A insures against direct physical loss to the dwelling. While Section I ñ Exclusions c.(6)(c) excludes loss caused by ìsmog, rust or other corrosion,î the Exception to Exclusion c.(6) (Homeowners 3 Special Form HO 00 03 05 11, Section I ñ Exclusions c.(6) Exception, p. 10) expressly restores coverage for ensuing damage from an accidental discharge or overflow of water from within a plumbing system on the residence premises. The limited fungi, wet or dry rot, or bacteria coverage endorsement (HO 05 38 05 11) replaces the corrosion exclusion language but does not eliminate this exception, thereby preserving coverage for the resulting water damage to the first floor bath.;TRUE
HO10028487;Water Damage: Mold in Attic, trying to determine where moisture is originating from;2023-12-08T15:50:12.621000;water damage;attic;attic;FALSE;"The claim description of 'Water Damage: Mold in Attic, trying to determine where moisture is originating from' indicates the presence of mold likely due to water intrusion; however, it fails to specify the source of the moisture or detail on what materials were damaged. Effective claims processing mandates clear identification of the water's origin and the specific damages incurred. The vagueness surrounding these critical elements makes the claim description insufficient for validating the claim and proceeding further.";;;;;;
HO10028539;Water Damage: Due to a storm last night BAIRD lost power for 9hrs. Basement is flooded. No power to the pumps which caused flooding;2023-12-11T13:40:55.560000;flood;;Basement;TRUE;The claim description indicates that water damage was caused by a storm, resulting in a power outage that prevented the pumps from operating, leading to flooding in the basement. This information clearly identifies the source of water (the storm) and the area of damage (the flooded basement), fulfilling the criteria for sufficient claim processing details. The interrelated elements of power loss, storm impact, and subsequent damage provide a coherent narrative for the claim, supporting the decision to proceed.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;;0;This claim is Excluded under Section I ñ Exclusions, A.3.b.(2) and A.3.c of the HO 00 03 05 11 Homeowners 3 Special Form (page 12), which expressly excludes water which overflows or is otherwise discharged from a sump pump and water below the surface of the ground seeping or flowing through a building. No applicable endorsement is shown on the policy declarations to override these exclusions.;FALSE
HO10028621;Water Damages due to Appliance Failure: Water heater burst has flooded a finished basement, capeting is damaged. Bostonian restoration of Braintree willl come today, an a company will come to replace the water heater by Holdley plumbing;2023-12-15T09:03:55.947000;water damages due to appliance failure;carpeting;finished basement;TRUE;The claim describes water damage resulting from a burst water heater, causing flooding in a finished basement with damaged carpeting. This description clearly identifies both the source of the water (the appliance failure) and the type of damage incurred, fulfilling the criteria for sufficient detail necessary for claim evaluation.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 15;Coverage A;477540;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $477,540 pursuant to the Exception to Exclusion A.3.c.(6) in Section I ñ Exclusions of the HO 00 03 05 11 Homeowners 3 Special Form (page 10), which reinstates coverage for direct physical loss caused by accidental discharge or overflow of water or steam from within a household appliance on the residence premises. Damaged finished basement carpeting is part of the dwelling finishes and is settled at actual cash value under the Loss Settlement provision in Section I ñ Loss Settlement of the HO 00 03 05 11 Homeowners 3 Special Form (page 15).;TRUE
HO10028627;Water Damage: Miller noticed water from her bathroom upstairs which also affected the ceiling of the room downstairs so Miller is not sure where water is coming from;2023-12-15T14:47:18.337000;water damage;downstairs ceiling;Upstairs bathroom and the ceiling of the room downstairs;FALSE;The claim description indicates that water damage was observed in the bathroom upstairs and that it affected the ceiling of the room downstairs, and yet it lacks sufficient details regarding the source of the water. Specifically, it fails to clarify whether the water is leaking due to a plumbing failure, a roof leak, or some other issue. The phrase 'Miller is not sure where water is coming from' introduces uncertainty about the cause of the damage, which is critical for evaluating insurance claims. Without knowing the source of the water and the extent of the damage, the claim cannot be advanced for processing.;;;;;;
HO10028628;Water Damage: There is water coming from the basement and the laundry room, the basement is flooded and has damaged several things of personal value;2023-12-15T14:59:14.339000;water damage;personal belongings;basement and laundry room;TRUE;The claim description outlines the situation where water is entering from both the basement and the laundry room, resulting in a flooded basement and damage to personal items. This specification of the water's origin and the identification of affected property fulfill the necessary criteria for a valid claim description. The details provided are sufficient to demonstrate both the source of the water damage and the impact on personal property, aligning with industry standards for initial claim assessments.;Homeowners-3-Special-Form_HO0003_201105.pdf, Advantage_CIC-964_202001.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 2, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 13, Advantage_CIC-964_202001.pdf - page 3;Coverage C;351726;This claim is Covered under Coverage C ñ Personal Property up to the policy limit of $351,726 for damage caused by accidental discharge or overflow of water from a household appliance (e.g., a washing machine) per Homeowners 3 Special Form HO 00 03 05 11, Section I ñ Perils Insured Against, B. Coverage C, peril 12 (page 2). Water intrusion into the basement from groundwater is Excluded under the same form, Section I ñ Exclusions A.3.c (page 13). The CIC-964 01 20 Advantage Endorsementís Water Back Up and Sump Overflow coverage (Section 16, page 3) does not apply because no overflow from a sump pump or sewer backup is alleged.;TRUE
HO10028871;Water Damage: crack in foundation was discovered leading insd to find water coming in which has probably been happening since the summer time.;2023-12-18T13:30:16.157000;water damage;;foundation;TRUE;The claim description details a crack in the foundation that has allowed water to enter the property, with implications that this intrusion has been ongoing since summer. This clearly identifies the source of water and the occurrence of damage, satisfying the essential criteria for proceeding with the claim. There are no contradictions in understanding the situation, as it consistently highlights the structural concern and subsequent water intrusion, which are critical for evaluating water damage claims.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 4, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9;;0;This claim is Excluded under Section I ñ Exclusions. The HO 17 32 02 17 Unit-Owners Coverage A Special Coverage Form, Section I ñ Exclusions, c.(6)(f) on page 4, excludes loss caused by settling, shrinking, bulging or expansion, including resultant cracking, of footings or foundations. In addition, the HO 00 06 05 11 Homeowners 6 Unit-Owners Form, Section I ñ Exclusions, 3.c on page 9, excludes ìwater below the surface of the ground, including water which seeps, leaks or flows through a Ö foundation.î Because the water intrusion results from an excluded foundation crack and constitutes groundwater seepage, no coverage applies.;FALSE
HO10028922;Water Damage due to Plumbing System: Power has been out since 5:30 morning and the sub pumps were not able to work and caused flooding;2023-12-18T14:06:08.109000;water damage due to plumbing system;;Not specified;TRUE;The claim describes water damage due to flooding, stemming from a plumbing system issue related to the failure of sub pumps caused by a power outage earlier that morning. This clearly indicates both the source of the water intrusion (the malfunctioning sub pumps due to lack of power) and the resulting damage (flooding in the property), which meets the necessary criteria to proceed with the claim.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Advantage_CIC-964_202001.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Advantage_CIC-964_202001.pdf - page 3;Covered by Endorsement;2500;This claim is Covered by the Water Back Up and Sump Overflow Additional Coverage under the Advantage Endorsement (CIC-964 01 20 Advantage Endorsement, Section I.E.16, page 3), which provides up to $2,500 for direct physical loss caused by water that overflows from a sump pump even if due to mechanical breakdown. The base Unit-Owners Coverage A Special Coverage Form (HO 17 32 02 17 Unit-Owners Coverage A, Special Coverage Form, Section I Exclusions c.(5), page 2) expressly excludes a sump pump from the definition of a covered plumbing system, but the Advantage Endorsement supersedes that exclusion and reinstates coverage for this flooding event.;TRUE
HO10029008;Water Damage: Due to the weather a st. behind Koch had a clog drain that cause Koch backyard to flood and cause damage in the property.;2023-12-18T15:40:21.272000;flood;;Backyard of the property;TRUE;The claim description specifies that water damage occurred in Koch's backyard as a consequence of flooding resulting from a clogged drain, influenced by weather conditions. This explicitly identifies the source of water and the location of damage, fulfilling the requirements necessary for further claim processing. The consistent mention of the source (clogged drain) and the affected area (backyard) across all analyses reinforces the validity of the claim description material.;Homeowners-3-Special-Form_HO0003_201105.pdf, Advantage_CIC-964_202001.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Advantage_CIC-964_202001.pdf - page 3;Coverage A;476925;This claim is Covered under Coverage A - Dwelling up to the policy limit of $476,925. Under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Property Coverages, Exception to Exclusion A.3 (page 10) expressly reinstates coverage for ìaccidental discharge or overflow of water Ö from within a storm drain Ö off the ëresidence premises,íî thereby overriding the general exclusion for flood, surface water, and backups set forth in Section I ñ Exclusions A.3 (page 12).;TRUE
HO10029142;Water Damage due to Plumbing System: Around 12/16/12/17 started noticing water pooling behind the washing machine in the basement. Originally thought it was stemming from the toilet replaced the seal and plate but still seeing water. Thinking that it is coming from the tub/shower. More water is visible after the shower has been running.;2023-12-19T08:08:38.814000;water damage due to plumbing system;;basement;TRUE;The claim description presents a scenario of water damage originating from the plumbing system, specifically detailing water pooling behind the washing machine in the basement. Initially believed to be due to a toilet leak, the investigation points towards the tub/shower as the possible source, especially after observing increased water after shower usage. Overall, the description provides clear identification of the water source and the affected area, indicating significant plumbing issues that warrant further claims examination.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11;Coverage A, Coverage C;506415;This claim is Covered under Coverage A ñ Dwelling up to the $297,891 limit and Coverage C ñ Personal Property up to the $208,524 limit pursuant to HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî (page 11). The sudden pooling from the washing machine and the tub/shower constitutes an accidental discharge of water from within a household appliance or plumbing system. Exclusions for sump pumps, sewer backup, and groundwater do not apply to losses covered under Peril 12, as explicitly stated in subsection d.;TRUE
HO10029178;Water Damage: Bruno lost their power and due to the rain there was water in the basement which damaged a lot of his personal property.;2023-12-19T08:57:48.562000;water damage;personal property;basement;TRUE;The claim description indicates that water damage occurred in the basement as a result of rain, which is a clear source of water. It specifies that this moisture accumulation damaged Bruno's personal property. Thus, it meets the necessary criteria of identifying the cause of damage (rain) and the affected area (basement) along with the mention of what was damaged (personal property), demonstrating sufficient detail to proceed with the claim process.;Homeowners-3-Special-Form_HO0003_201105.pdf,CIC-2226-202202-AdvantageEliteExended.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12,CIC-2226-202202-AdvantageEliteExended.pdf - page 4;;0;This claim is Excluded under Section I ñ Exclusions A.3 Water of the HO 00 03 05 11 Homeowners 3 Special Form, which expressly bars coverage for loss caused by flood, surface water or water below the surface of the ground intruding into a basement. Although the CIC-2226 02 22 Advantage Elite Extended endorsement (Section I.E.16, page 4) provides Limited Water Back-Up and Sump Discharge or Overflow Coverage up to $2,500 for water that ìoverflows or is discharged from aÖsump pumpÖeven ifÖresults from power failure,î there is no allegation of a sump pump overflow or discharge in the claim description. Therefore, no coverage is available under the policy or endorsement.;FALSE
HO10029182;Water Damage: Sump pump failed, something mechanically went wrong and when heavy rains would not stop the finished basement was flooded with 4 inches of water and even heavier near pump.;2023-12-19T09:01:15.111000;water damages due to appliance failure;sump pump, basement flooring;finished basement;TRUE;The claim description indicates that water damage occurred due to a failure of the sump pump, which malfunctioned during heavy rains, leading to significant flooding in the finished basement with 4 inches of water. This thoroughly identifies the source of the water and specifies the area of damage while quantifying the extent, thus providing a sound basis for proceeding with the claim investigation.;Limited-Water-Back-Up_HO0495_201401.pdf,CIC-2092-202202-AdvantageElite.pdf;Limited-Water-Back-Up_HO0495_201401.pdf - page 1,CIC-2092-202202-AdvantageElite.pdf - page 4;Covered by Endorsement;2500;"This claim is Covered by the Limited Water Back-up and Sump Discharge or Overflow Coverage endorsement (HO 04 95 01 14 Limited Water-Back Up and Sump Discharge or Overflow Coverage), Section I ñ Additional Coverages E (page 1), up to the Limit Of Liability shown in the Schedule, which reinstates coverage for direct physical loss caused by water overflow or discharge from a sump pump due to mechanical breakdown; coverage also applies under the Advantage Elite Endorsement (CIC-2092-02-22), Section I.E.16 (page 4), up to $2,500 per occurrence for the same peril.";TRUE
HO10029207;Water Damage: flood thorugh the dining room gate window the water came crashing trhough the window's ceiling into the floor and created a mess. Cailing and flooring is all water stained.;2023-12-19T09:27:39.370000;flood;ceiling, flooring;dining room;TRUE;The claim description states that water damage occurred owing to a flood through the dining room gate window, where water came crashing through the window's ceiling and onto the floor. It specifies that the ceiling and flooring are water-stained, clearly identifying both the source of the water and the affected areas. This aligns with the requirements for a valid claim, providing sufficient information to proceed with the claim evaluation.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10;;0;This claim is Excluded under Section I ñ Exclusions A.3.a of the HO 00 03 05 11 Homeowners 3 ñ Special Form. Section I.A.3.a (p. 12) expressly excludes ìFlood, surface water, wavesÖoverflow of any body of water,î and the loss description confirms flood water intruded through the dining room gate window. Neither the accidental discharge exception under Section I (c)(6) nor any Windstorm or Hail opening exception applies, and no Flood or Water Back-Up and Sump Discharge Overflow Endorsement is indicated on the declarations to override the exclusion.;FALSE
HO10029252;Water Damage: When insured went down stairs to do laundry she noticed there was water dripping next to washing machine. Insured went up stairs and noticed stains on her living room ceiling which is directly above her washing machine in the basement.;2023-12-19T10:03:28.366000;water damages due to appliance failure;living room ceiling;living room ceiling;TRUE;The claim description specifies that water was dripping next to the washing machine in the basement, indicating a clear source of the water. Additionally, it notes the presence of stains on the living room ceiling, which is directly above the area where the water was observed. This demonstrates a direct connection between the source of water and the resultant damage. The details provided fulfill the requirement for evaluating water damage claims, confirming sufficient information to proceed with the claim evaluation.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 3, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;Coverage A;277424;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $277,424 under the HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Exclusions A.3(c)(6) Exception (ii) on page 10 provides that ìUnless the loss is otherwise excluded, we cover loss to property covered under Coverage A Ö resulting from an accidental discharge or overflow of water Ö from within Ö a household appliance on the ëresidence premises.íî The insuredís sudden washing machine leak fits this Exception. The living room ceiling is part of the dwelling as defined in Section I ñ Property Coverages A.1.a on page 3. The Water Exclusion in Section I ñ Exclusions A.3 on page 12 applies only to flood, sewer backup, sump pump overflow, or groundwater intrusion, none of which are implicated here.;TRUE
HO10029321;Water Damage: Our insured Mrs Lara it is reporting that her basement it is flooded because of the rain and now it is eveything soaked and there is probably mold presence;2023-12-19T10:50:59.525000;water damage;building materials, contents;basement;TRUE;The claim description notes that Mrs. Lara's basement is flooded due to rain, indicating a clear source of water. It details that all items in the basement are soaked and suggests potential mold presence, providing sufficient insight into both the cause of the issue and the extent of the damages. This combination of information aligns with established industry standards for valid claim descriptions, where both a detailed cause and an explanation of the damage are required.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;;0;This claim is Excluded under Section I ñ Exclusions, A.3 Water of the HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Exclusions A.3.a on page 12 excludes ìFlood, surface water, waves Ö overflow of any body of water Ö,î and Section I ñ Exclusions A.3.c on page 12 excludes ìWater below the surface of the ground Ö seeps, leaks or flows through a building.î Because the insuredís basement flooding arose from rain?driven surface water and groundwater intrusion, the loss is not covered.;FALSE
HO10029345;Water Damage: Sump pump failed causing about 8 inches of water in basement;2023-12-19T11:23:04.668000;water damages due to appliance failure;basement;basement;TRUE;The claim description clearly states that water damage occurred due to a sump pump failure, resulting in about 8 inches of water in the basement. This provides a clear source of water, detailing both the nature of the leakage (sump pump failure) and the extent of damage (8 inches of water), which fulfills the requirements for a valid claim description. All decisions reached a consistent conclusion that the information provided is sufficient to proceed with the claim, thanks to the explicit identification of the source of water and the area affected.;Homeowners-3-Special-Form_HO0003_201105.pdf,CIC-2226-202202-AdvantageEliteExended.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, CIC-2226-202202-AdvantageEliteExended.pdf - page 4;Covered by Endorsement;2500;This claim is Covered by the Limited Water Back-Up and Sump Discharge or Overflow Coverage provided under the CIC-2226 02 22 Advantage Elite Extended Endorsement, Section I.E.16 ñ Additional Coverages, page 4, which reinstates coverage for direct physical loss caused by water discharged from a sump pumpóeven if resulting from mechanical breakdown or power failureóoverriding the exclusion in the Homeowners 3 Special Form HO 00 03 05 11, Section I ñ Exclusions A.3.b.(2), page 12.;TRUE
HO10029416;Water Damage: Electricity went off so pump failed to damage. Water damaged items in my basement were damaged.;2023-12-19T13:10:11.899000;water damages due to appliance failure;items stored in basement;basement;FALSE;The claim description indicates water damage occurred due to pump failure caused by a loss of electricity, but it fails to specify the exact source of water leading to the damage or detail what items were affected in the basement. While it identifies the general cause of damage, the vagueness regarding the water's source and the lack of specific information about the damaged items prevent this claim from proceeding effectively. For instance, if the water originated from a broken pipe or heavy rainfall, or if the damaged items include furniture or flooring, that information is critical for a thorough evaluation of the claim.;;;;;;
HO10029432;Water Damage: Basement completely flooded approx 900 sq ft. Personal property storage items damaged from water as well.;2023-12-19T13:34:59.782000;water damage;personal property storage items;Basement;TRUE;The claim describes a water damage incident where the basement has completely flooded approximately 900 sq ft, leading to damage of personal property storage items. While the source of water is not explicitly stated, the significant extent of the flooding and the damaged items indicate a serious situation that necessitates investigation. The details provided about the flooded area and impact on personal property are consistent with sufficient claims to allow for further assessment and processing.;Homeowners-5-Comprehensive-Form_HO0005_201105.pdf,CIC-2226-202202-AdvantageEliteExended.pdf;Homeowners-5-Comprehensive-Form_HO0005_201105.pdf - page 12,CIC-2226-202202-AdvantageEliteExended.pdf - page 4;;0;This claim is Excluded under Section I ñ Exclusions A.3.a (flood, surface water) and A.3.c (water below the surface of the ground, including seepage through a building) of the HO 00 05 05 11 Homeowners ñ Comprehensive Form (page 12). Although the CIC-2226 02 22 Advantage Elite Extended ñ Limited Water Back-Up and Sump Discharge or Overflow Coverage endorsement (Section I.E.16, page 4) provides up to $2,500 for water backing up through sewers or drains or discharged from a sump pump, there is no indication that this loss involved a sewer backup or sump pump discharge. Therefore, general basement flooding from groundwater is excluded.;FALSE
HO10029554;Water Damage: per Milford fire department, the sump pump failed causing water to back up in the basement.;2023-12-20T09:22:01.848000;water damages due to appliance failure;;basement;TRUE;The claim description indicates that water damage occurred in the basement due to a failed sump pump, which caused water to back up. This establishes the source of the water (the sump pump) and specifies the affected area (the basement). The details provided satisfy the necessary criteria for proceeding with the claim, as they clearly outline both the cause of the damage and the location, without ambiguity.;Homeowners-3-Special-Form_HO0003_201105.pdf,CIC-2092-202202-AdvantageElite.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12,CIC-2092-202202-AdvantageElite.pdf - page 4;Covered by Endorsement;2500;"This claim is Covered by the Limited Water Back-Up and Sump Discharge or Overflow Coverage endorsement under the CIC-2092 02 22 Advantage Elite Endorsement, Section I ñ Additional Coverages E.16, page 4, which provides up to $2,500 per occurrence for direct physical loss caused by water that ìoverflows or is discharged from a sump, sump pump; or related equipment; even if such overflow or discharge results from mechanical breakdown or power failure.î This specific coverage reinstates protection for sump pump backup despite the Water Exclusion in the HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Exclusions A.3.b.(2).";TRUE
HO10029592;Water Damage: Electricity went out due to a rain and wind storm causing the sump pump to fail. Water backup in the finished basement. Floors and personal property damage, as well as the furnace causing no heat.;2023-12-20T10:28:10.670000;water damages due to appliance failure;basement flooring, personal property, furnace;finished basement;TRUE;The claim description indicates that water damage occurred in the finished basement due to a sump pump failure caused by a rain and wind storm, leading to water backup that affected the floors, personal property, and furnace functionality. This clearly identifies the source of the water as the sump pump failure and specifies the damages incurred. Each decision highlighted the importance of detailing both the cause and the resultant damages, and all sourced their reasoning effectively from the claim description provided, validating its completeness according to the guidelines.;Limited-Water-Back-Up_HO0495_201401.pdf,CIC-2226-202202-AdvantageEliteExended.pdf,Homeowners-3-Special-Form_HO0003_201105.pdf;Limited-Water-Back-Up_HO0495_201401.pdf - page 1,CIC-2226-202202-AdvantageEliteExended.pdf - page 4,Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;Covered by Endorsement;2500;This claim is Covered by the Limited Water Back-Up and Sump Discharge or Overflow Coverage endorsement (HO 04 95 01 14 Limited Water Back-Up and Sump Discharge or Overflow, Section I.E Additional Coverages, page 1), which expressly insures direct physical loss caused by water that ìoverflows or is discharged from a sump, sump pump or related equipment, even if such overflow or discharge results from mechanical breakdown or power failure,î and by the CIC-2226 02 22 Advantage Elite Extended endorsement (CIC-2226 02 22 Advantage Elite Extended, Section I.E.16 Limited Water Back-Up and Sump Discharge or Overflow Coverage, page 4), which provides an additional $2,500 per occurrence in excess of the HO 04 95 limits. Both endorsements override the HO 00 03 Special Form Exclusion A.3.b.(2) and the Power Failure Exclusion, thereby covering the basement water backup, finished flooring, personal property damage, and furnace loss.;TRUE
HO10029787;Water Damage: Bogle noticed water Tuesday morning in partly finished basement from wind storm. Approx 6 inches high. Deeper in some areas. Sump pump appears to have failed.;2023-12-21T10:53:57.288000;water damages due to appliance failure;partly finished basement;partly finished basement;TRUE;The claim describes water damage in the basement attributed to a failed sump pump during a wind storm, resulting in approximately 6 inches of water. This specification clearly identifies the source of water (sump pump failure) and the affected area (partly finished basement), allowing the claim to be appropriately processed. Furthermore, the inclusion of the water height and the mention of depth in certain areas indicate the severity of the situation, corroborating that the damage is significant enough to warrant further investigation and processing of the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf, Advantage_CIC-964_202001.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Advantage_CIC-964_202001.pdf - page 3;Covered by Endorsement;2500;This claim is Covered by the Water Back Up and Sump Overflow Additional Coverage under the CIC-964 01 20 Advantage Endorsement ñ Section I.E.16 ñ Water Back Up and Sump Overflow (page 3), which provides up to $2,500 for direct physical loss to the dwelling caused by water overflowing from a sump pump, even if resulting from mechanical breakdown. This endorsement reinstates coverage specifically excluded under the HO 00 03 05 11 Homeowners 3 Special Form ñ Section I.A.3.b.(2) (page 12), which excludes loss caused by water overflow from a sump, sump pump, or related equipment.;TRUE
HO10029845;Water Damage: Raymond noticed due to the heavy rain, came down the st and the water came info the floor board on the basement is soaked.;2023-12-21T14:56:49.721000;water damage;basement floor boards;basement;TRUE;The claim description indicates that heavy rain caused water to enter the basement, resulting in soaked floorboards. The source of the wateróheavy rainóis clearly identified, and the damage incurred is specifically mentioned regarding the floorboards in the basement. While some decisions highlighted the need for further details about how the water came into the basement and any additional damage, the essential criteria of identifying the source and extent of damage are met. The description aligns with the standard for valid claim submissions in property damage insurance, allowing the claim to proceed.;Homeowners-3-Special-Form_HO0003_201105.pdf, Advantage_CIC-964_202001.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Advantage_CIC-964_202001.pdf - page 3;;0;This claim is Excluded under Section I ñ Exclusions A.3.a of the HO 00 03 05 11 Homeowners 3 Special Form (Section I.A.3.a, p. 12), which explicitly excludes ìFlood, surface waterÖ overflow of any body of waterî entering the basement. The CIC-964 01 20 Advantage Endorsement (Section 16, p. 3) only provides limited coverage for water backing up through sewers or drains or overflowing from a sump pump, and does not extend to surface water intrusion from heavy rain.;FALSE
